subyekt;nomer regiona;y1;y2;y3;y4;y5;y;god;x1
Respublika Altay ;65;45137,00;1,00;1,00;43.8;45069,00;10793.4;2017,00;19025,00
Respublika Buryatiya ;66;32.8;45048,00;1,00;39.7;24,00;11749.6;2017,00;19025,00
Respublika Tyva ;67;36.6;44959,00;44958,00;37.5;45068,00;8411.9;2017,00;19025,00
Respublika Khakasiya ;68;31.2;45017,00;45078,00;42.8;23,00;13317.5;2017,00;19025,00
Altayskiy kray ;69;33.8;44958,00;45139,00;38.6;45101,00;11979.7;2017,00;19025,00
Zabaykalskiy kray ;70;33.7;3,00;44928,00;37.2;24,00;13379,00;2017,00;19025,00
Krasnoyarskiy kray ;71;45135,00;44959,00;45170,00;37.7;45075,00;17765,00;2017,00;19025,00
Irkutskaya oblast ;72;33.3;45017,00;44927,00;39.7;45070,00;13049.7;2017,00;19025,00
Kemerovskaya oblast ;73;34.8;44958,00;45139,00;37,00;44982,00;11866.9;2017,00;19025,00
Hovosibirskaya oblast ;74;31.9;44932,00;2,00;41,00;19,00;13779.2;2017,00;19025,00
Omskaya oblast ;75;33.4;45079,00;45108,00;45168,00;45077,00;12812.3;2017,00;19025,00
Tomskaya oblast ;76;45044,00;45048,00;45017,00;41.2;45072,00;16538.9;2017,00;19025,00
Respublika Sakha(Yakutiya) ;77;45107,00;45081,00;44986,00;32,00;45077,00;22611.5;2017,00;19025,00
Kamchatskiy kray ;78;45134,00;44959,00;45139,00;40.8;45073,00;30416.9;2017,00;19025,00
Primorskiy kray ;79;30,00;45141,00;45108,00;35.8;45135,00;18025.5;2017,00;19025,00
Xabarovskiy kray ;80;44953,00;3,00;44928,00;35.3;32.5;20744.3;2017,00;19025,00
Amurskaya oblast ;81;31,00;45017,00;45108,00;35.8;44956,00;14534.3;2017,00;19025,00
Magadanskaya oblast ;82;36.3;45017,00;44927,00;30.2;31,00;24066.1;2017,00;19025,00
Cakhalinskaya oblast ;83;44956,00;1,00;44986,00;41.5;44952,00;25126.5;2017,00;19025,00
Evreyskaya avt. oblast ;84;31.2;45170,00;45109,00;41.3;45191,00;14866.3;2017,00;19025,00
Chukotskiy avt. okrug ;85;39.8;0.2;44928,00;45044,00;45075,00;24621.2;2017,00;19025,00
Belgorodskaya oblast ;1;45107,00;45048,00;1.325;43.425;22.575;16683.68;2018,00;46478,00
Bryanskaya oblast ;2;36.8;1.675;20090,00;38.225;21.725;13723.05;2018,00;46478,00
Bladimirskaya oblast ;3;36.45;44986,00;1.125;33.45;27.675;14603.5;2018,00;46478,00
Boronezhskaya oblast ;4;32.45;0.675;1.125;39.6;44983,00;15762.58;2018,00;46478,00
Ivanovskaya oblast ;5;29.83;45108,00;2.375;38.775;45012,00;17182.45;2018,00;46478,00
Kaluzhskaya oblast ;6;30.85;2.225;45017,00;43.475;45068,00;17920.35;2018,00;46478,00
Kostromskaya oblast ;7;34.78;1.975;12816,00;36.825;44950,00;14880.78;2018,00;46478,00
Kurskaya oblast ;8;32.6;1.675;1.725;42.5;21.45;15039.45;2018,00;46478,00
Lipetskaya oblast ;9;33.78;3.025;44958,00;36.85;25.125;15194.23;2018,00;46478,00
Moskovskaya oblast ;10;25.35;3.175;1.325;38.325;31.85;23531.58;2018,00;46478,00
Orlovskaya oblast ;11;33.2;1.525;44958,00;40.075;24,00;13598.75;2018,00;46478,00
Ryazanskaya oblast ;12;40.73;1.425;44927,00;31.025;25.75;10951.93;2018,00;46478,00
Smolenskaya oblast ;13;45.48;0.45;0.95;29.475;23.675;13805.15;2018,00;46478,00
Tambovskaya oblast ;14;29.83;45017,00;0.55;41.8;26.425;12428.98;2018,00;46478,00
Tverskaya oblast ;15;37.65;1.775;34700,00;32.475;44952,00;14549.35;2018,00;46478,00
Tulskaya oblast ;16;38.53;45017,00;45139,00;31.35;26.925;15389.9;2018,00;46478,00
Yaroslavskaya oblast ;17;31.98;45171,00;20090,00;33.575;30,00;15542.18;2018,00;46478,00
g. Moskva ;18;24.53;5.625;1.875;35.95;32,00;31277.43;2018,00;46478,00
Respublika Kareliya ;19;31.53;12785,00;45170,00;41.4;23.85;17438.63;2018,00;46478,00
Respublika Komi ;20;32.4;1.925;1.675;34.775;29.2;16980.03;2018,00;46478,00
Arkhangelskaya oblast ;21;29.83;3.175;1.625;38.7;45133,00;19030.5;2018,00;46478,00
