subyekt,nomer subyekta,y1,y2,y3,y4,y5,y,god,x
Lipetskaya oblast,48,33.49,2.14,1.3,38.27,24.8,16107.59,2019,3.05
Moskovskaya oblast,50,26.07,2.82,1.22,35.57,34.32,23769.75,2019,3.05
Orlovskaya oblast,57,33.59,1.33,1.33,38.94,24.81,13692.73,2019,3.05
Ryazanskaya oblast,62,40.75,1.52,1.3,31.09,25.34,11904.68,2019,3.05
Smolenskaya oblast,67,45.6,0.37,1.09,30.88,22.05,15184.98,2019,3.05
Tambovskaya oblast,68,33.68,1.4,0.51,37.65,26.76,11778.78,2019,3.05
Tverskaya oblast,69,38.05,1.77,1.82,32.03,26.33,14980.84,2019,3.05
Tulskaya oblast,71,38.53,0.95,1.68,33.7,25.14,16111.53,2019,3.05
Yaroslavskaya oblast,76,30.34,2.66,1.5,37.42,28.08,16467.1,2019,3.05
g. Moskva,77,20.99,4.87,1.82,38.67,33.65,41364.83,2019,3.05
Respublika Kareliya,10,31.02,2.33,2.68,40.41,23.56,19154.42,2019,3.05
Respublika Komi,11,31.84,1.32,2.06,34.67,30.11,17655.96,2019,3.05
Arkhangelskaya oblast,29,28.06,2.12,1.23,42.08,26.52,21317.63,2019,3.05
Nenetskiy avtonomnyy okrug,83,27.5,0.01,1.62,42.61,28.27,27015.97,2019,3.05
Vologodskaya oblast,35,35.05,2.67,1.44,33.19,27.65,17323,2019,3.05
Kaliningradskaya oblast,39,36.26,3.58,1.96,33.49,24.71,14984.01,2019,3.05
Leningradskaya oblast,47,33.88,3.06,1.79,32.58,28.68,19016.6,2019,3.05
Murmanskaya oblast,51,25.28,2.35,2.19,37.65,32.53,26052.11,2019,3.05
Novgorodskaya oblast,53,33.73,2.34,0.82,32.89,30.22,15243.53,2019,3.05
Pskovskaya oblast,60,34.79,1.55,1.85,36.08,25.74,13474.42,2019,3.05
g. Sankt-Peterburg,78,27.14,4.54,1.58,32.88,33.87,27013.31,2019,3.05
Respublika Adygeya,1,35.09,2,0.81,35.38,26.71,15458.72,2019,3.05
Respublika Kalmykiya,8,36.23,1.01,1.03,39.45,22.28,11608.21,2019,3.05
Respublika Krym,91,41.74,2.42,0.85,33.68,21.31,13386.14,2019,3.05
Krasnodarskiy kray,23,35.87,4.02,1.59,33.09,25.42,17466.5,2019,3.05
Astrakhanskaya oblast,30,34.91,2.23,1.68,37.56,23.62,17110,2019,3.05
Volgogradskaya oblast,34,37.44,1.45,1.29,34.75,25.07,15176.03,2019,3.05
Rostovskaya oblast,61,31.69,4.89,2.19,30.29,30.94,16519.81,2019,3.05
g. Sevastopol,92,47.03,1.8,1.21,24.06,25.89,14232.83,2019,3.05
Respublika Dagestan,5,49.34,0.66,0.6,36.9,12.51,14294.32,2019,3.05
Respublika Ingushetiya,6,59.84,4.74,0.1,20.88,14.44,9958.08,2019,3.05
Kabardino-Balkarskaya,7,42.13,0.98,0.59,36.17,20.13,11459.36,2019,3.05
Karachaevo-Cherkesskaya,9,29.06,1.61,0.17,40.98,28.18,12340.41,2019,3.05
Respublika Severnaya,15,39.29,1.43,0.56,35.38,23.35,12723.29,2019,3.05
Chechenskaya Respublika,20,32.62,1.56,0,44.43,21.38,11061.22,2019,3.05
Stavropolskiy kray,26,29.25,2.52,1.62,33.91,32.7,13514.83,2019,3.05
Respublika Bashkortostan,2,28.38,2.45,1.51,40.81,26.84,17745.8,2019,3.05
Respublika Mariy El,12,32.29,2.5,1.66,36.29,27.27,11625.01,2019,3.05
Respublika Mordoviya,13,41.49,2.1,1.42,32.06,22.93,11956.44,2019,3.05
